"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HF.DYN.SMEA.Q3","","Pap smear in last 3 years (% of females 20-69): Q3","","Percentage of women who received a pap smear in the last 3 years (preferably age 20-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.SMEA.Q4","","Pap smear in last 3 years (% of females 20-69): Q4","","Percentage of women who received a pap smear in the last 3 years (preferably age 20-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.SMEA.Q5","","Pap smear in last 3 years (% of females 20-69): Q5 (highest)","","Percentage of women who received a pap smear in the last 3 years (preferably age 20-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.FULL","","Immunization, full (% of children ages 15-23 months)","","Percentage of children age 15-23 months who received Bacillus Calmette-Guerin (BCG), measles/Measles-Mumps-Rubella (MMR), 3 doses of polio (excluding polio given at birth) and 3 doses of diphtheria-pertussis-tetanus (DPT)/Pentavalent vaccinations, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.FULL.Q1","","Immunization, full (% of children ages 15-23 months): Q1 (lowest)","","Percentage of children age 15-23 months who received Bacillus Calmette-Guerin (BCG), measles/Measles-Mumps-Rubella (MMR), 3 doses of polio (excluding polio given at birth) and 3 doses of diphtheria-pertussis-tetanus (DPT)/Pentavalent vaccinations, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.FULL.Q2","","Immunization, full (% of children ages 15-23 months): Q2","","Percentage of children age 15-23 months who received Bacillus Calmette-Guerin (BCG), measles/Measles-Mumps-Rubella (MMR), 3 doses of polio (excluding polio given at birth) and 3 doses of diphtheria-pertussis-tetanus (DPT)/Pentavalent vaccinations, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.FULL.Q3","","Immunization, full (% of children ages 15-23 months): Q3","","Percentage of children age 15-23 months who received Bacillus Calmette-Guerin (BCG), measles/Measles-Mumps-Rubella (MMR), 3 doses of polio (excluding polio given at birth) and 3 doses of diphtheria-pertussis-tetanus (DPT)/Pentavalent vaccinations, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.FULL.Q4","","Immunization, full (% of children ages 15-23 months): Q4","","Percentage of children age 15-23 months who received Bacillus Calmette-Guerin (BCG), measles/Measles-Mumps-Rubella (MMR), 3 doses of polio (excluding polio given at birth) and 3 doses of diphtheria-pertussis-tetanus (DPT)/Pentavalent vaccinations, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.FULL.Q5","","Immunization, full (% of children ages 15-23 months): Q5 (highest)","","Percentage of children age 15-23 months who received Bacillus Calmette-Guerin (BCG), measles/Measles-Mumps-Rubella (MMR), 3 doses of polio (excluding polio given at birth) and 3 doses of diphtheria-pertussis-tetanus (DPT)/Pentavalent vaccinations, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.MEAS","","Immunization, measles (% of children ages 15-23 months)","","Percentage of children age 15-23 months who received measles or MMR vaccination, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.MEAS.Q1","","Immunization, measles (% of children ages 15-23 months): Q1 (lowest)","","Percentage of children age 15-23 months who received measles or MMR vaccination, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.MEAS.Q2","","Immunization, measles (% of children ages 15-23 months): Q2","","Percentage of children age 15-23 months who received measles or MMR vaccination, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.MEAS.Q3","","Immunization, measles (% of children ages 15-23 months): Q3","","Percentage of children age 15-23 months who received measles or MMR vaccination, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.MEAS.Q4","","Immunization, measles (% of children ages 15-23 months): Q4","","Percentage of children age 15-23 months who received measles or MMR vaccination, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.IMM.MEAS.Q5","","Immunization, measles (% of children ages 15-23 months): Q5 (highest)","","Percentage of children age 15-23 months who received measles or MMR vaccination, either verified by vaccination card or by recall of respondent","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.MLR.NETS.ZS","","Use of insecticide-treated bed nets (% of under-5 population)","","Percentage of children under 5 who slept under an insecticide treated bed net (ITN) the night before the survey. A bed net is considered treated if it a) is a long-lasting treated net, b) a pre-treated net that was purchased or soaked in insecticides less than 12 months ago, or c) a non-pre-treated net which was soaked in insecticides less than 12 months ago","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.MLR.NETS.ZS.Q1","","Use of insecticide-treated bed nets (% of under-5 population): Q1 (lowest)","","Percentage of children under 5 who slept under an insecticide treated bed net (ITN) the night before the survey. A bed net is considered treated if it a) is a long-lasting treated net, b) a pre-treated net that was purchased or soaked in insecticides less than 12 months ago, or c) a non-pre-treated net which was soaked in insecticides less than 12 months ago","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.MLR.NETS.ZS.Q2","","Use of insecticide-treated bed nets (% of under-5 population): Q2","","Percentage of children under 5 who slept under an insecticide treated bed net (ITN) the night before the survey. A bed net is considered treated if it a) is a long-lasting treated net, b) a pre-treated net that was purchased or soaked in insecticides less than 12 months ago, or c) a non-pre-treated net which was soaked in insecticides less than 12 months ago","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.MLR.NETS.ZS.Q3","","Use of insecticide-treated bed nets (% of under-5 population): Q3","","Percentage of children under 5 who slept under an insecticide treated bed net (ITN) the night before the survey. A bed net is considered treated if it a) is a long-lasting treated net, b) a pre-treated net that was purchased or soaked in insecticides less than 12 months ago, or c) a non-pre-treated net which was soaked in insecticides less than 12 months ago","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.MLR.NETS.ZS.Q4","","Use of insecticide-treated bed nets (% of under-5 population): Q4","","Percentage of children under 5 who slept under an insecticide treated bed net (ITN) the night before the survey. A bed net is considered treated if it a) is a long-lasting treated net, b) a pre-treated net that was purchased or soaked in insecticides less than 12 months ago, or c) a non-pre-treated net which was soaked in insecticides less than 12 months ago","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.MLR.NETS.ZS.Q5","","Use of insecticide-treated bed nets (% of under-5 population): Q5 (highest)","","Percentage of children under 5 who slept under an insecticide treated bed net (ITN) the night before the survey. A bed net is considered treated if it a) is a long-lasting treated net, b) a pre-treated net that was purchased or soaked in insecticides less than 12 months ago, or c) a non-pre-treated net which was soaked in insecticides less than 12 months ago","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ANV4.ZS","","Pregnant women receiving prenatal care of at least four visits (% of pregnant women)","","Percentage of most recent births in last two years with at least 4 antenatal care visits (women age 15-49 at the time of the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ANV4.ZS.Q1","","Pregnant women receiving prenatal care of at least four visits (% of pregnant women): Q1 (lowest)","","Percentage of most recent births in last two years with at least 4 antenatal care visits (women age 15-49 at the time of the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ANV4.ZS.Q2","","Pregnant women receiving prenatal care of at least four visits (% of pregnant women): Q2","","Percentage of most recent births in last two years with at least 4 antenatal care visits (women age 15-49 at the time of the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ANV4.ZS.Q3","","Pregnant women receiving prenatal care of at least four visits (% of pregnant women): Q3","","Percentage of most recent births in last two years with at least 4 antenatal care visits (women age 15-49 at the time of the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ANV4.ZS.Q4","","Pregnant women receiving prenatal care of at least four visits (% of pregnant women): Q4","","Percentage of most recent births in last two years with at least 4 antenatal care visits (women age 15-49 at the time of the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ANV4.ZS.Q5","","Pregnant women receiving prenatal care of at least four visits (% of pregnant women): Q5 (highest)","","Percentage of most recent births in last two years with at least 4 antenatal care visits (women age 15-49 at the time of the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ARIC.ZS","","Acute respiratory infections treated (% of children under 5 with cough and rapid breathing)","","Percentage of children under 5 with cough and rapid breathing in the two weeks preceding the survey (DHS, WHS) who had a consultation with a formal healthcare provider (excluding pharmacies and visits to â€œotherâ€ healthcare providers). MICS data points use sample of children under 5 with cough and rapid breathing in the 2 weeks preceding the survey which originated from the chest. The definition of formal healthcare providers varies by country and data source.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ARIC.ZS.Q1","","Acute respiratory infections treated (% of children under 5 with cough and rapid breathing): Q1 (lowest)","","Percentage of children under 5 with cough and rapid breathing in the two weeks preceding the survey (DHS, WHS) who had a consultation with a formal healthcare provider (excluding pharmacies and visits to â€œotherâ€ healthcare providers). MICS data points use sample of children under 5 with cough and rapid breathing in the 2 weeks preceding the survey which originated from the chest. The definition of formal healthcare providers varies by country and data source.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ARIC.ZS.Q2","","Acute respiratory infections treated (% of children under 5 with cough and rapid breathing): Q2","","Percentage of children under 5 with cough and rapid breathing in the two weeks preceding the survey (DHS, WHS) who had a consultation with a formal healthcare provider (excluding pharmacies and visits to â€œotherâ€ healthcare providers). MICS data points use sample of children under 5 with cough and rapid breathing in the 2 weeks preceding the survey which originated from the chest. The definition of formal healthcare providers varies by country and data source.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ARIC.ZS.Q3","","Acute respiratory infections treated (% of children under 5 with cough and rapid breathing): Q3","","Percentage of children under 5 with cough and rapid breathing in the two weeks preceding the survey (DHS, WHS) who had a consultation with a formal healthcare provider (excluding pharmacies and visits to â€œotherâ€ healthcare providers). MICS data points use sample of children under 5 with cough and rapid breathing in the 2 weeks preceding the survey which originated from the chest. The definition of formal healthcare providers varies by country and data source.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ARIC.ZS.Q4","","Acute respiratory infections treated (% of children under 5 with cough and rapid breathing): Q4","","Percentage of children under 5 with cough and rapid breathing in the two weeks preceding the survey (DHS, WHS) who had a consultation with a formal healthcare provider (excluding pharmacies and visits to â€œotherâ€ healthcare providers). MICS data points use sample of children under 5 with cough and rapid breathing in the 2 weeks preceding the survey which originated from the chest. The definition of formal healthcare providers varies by country and data source.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ARIC.ZS.Q5","","Acute respiratory infections treated (% of children under 5 with cough and rapid breathing): Q5 (highest)","","Percentage of children under 5 with cough and rapid breathing in the two weeks preceding the survey (DHS, WHS) who had a consultation with a formal healthcare provider (excluding pharmacies and visits to â€œotherâ€ healthcare providers). MICS data points use sample of children under 5 with cough and rapid breathing in the 2 weeks preceding the survey which originated from the chest. The definition of formal healthcare providers varies by country and data source.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BLSG.ZS","","Blood sugar measured in last 5 years (% of population at risk of diabetes)","","Percentage of population aged 40-69 at increased risk of diabetes (overweight, obese) having their blood sugar measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BLSG.ZS.Q1","","Blood sugar measured in last 5 years (% of population at risk of diabetes): Q1 (lowest)","","Percentage of population aged 40-69 at increased risk of diabetes (overweight, obese) having their blood sugar measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BLSG.ZS.Q2","","Blood sugar measured in last 5 years (% of population at risk of diabetes): Q2","","Percentage of population aged 40-69 at increased risk of diabetes (overweight, obese) having their blood sugar measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BLSG.ZS.Q3","","Blood sugar measured in last 5 years (% of population at risk of diabetes): Q3","","Percentage of population aged 40-69 at increased risk of diabetes (overweight, obese) having their blood sugar measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BLSG.ZS.Q4","","Blood sugar measured in last 5 years (% of population at risk of diabetes): Q4","","Percentage of population aged 40-69 at increased risk of diabetes (overweight, obese) having their blood sugar measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BLSG.ZS.Q5","","Blood sugar measured in last 5 years (% of population at risk of diabetes): Q5 (highest)","","Percentage of population aged 40-69 at increased risk of diabetes (overweight, obese) having their blood sugar measured in the last 5 years","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM15.FE","","Mean BMI, female (ages 15-49)","","Mean BMI of female population aged 15-49 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM15.FE.Q1","","Mean BMI, female (ages 15-49): Q1 (lowest)","","Mean BMI of female population aged 15-49 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM15.FE.Q2","","Mean BMI, female (ages 15-49): Q2","","Mean BMI of female population aged 15-49 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM15.FE.Q3","","Mean BMI, female (ages 15-49): Q3","","Mean BMI of female population aged 15-49 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM15.FE.Q4","","Mean BMI, female (ages 15-49): Q4","","Mean BMI of female population aged 15-49 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM15.FE.Q5","","Mean BMI, female (ages 15-49): Q5 (highest)","","Mean BMI of female population aged 15-49 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18","","Mean BMI, adults (age 18+)","","Mean BMI of population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.FE","","Mean BMI, female (age 18+)","","Mean BMI of female population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.FE.Q1","","Mean BMI, female (age 18+): Q1 (lowest)","","Mean BMI of female population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.BM18.FE.Q2","","Mean BMI, female (age 18+): Q2","","Mean BMI of female population aged 18 or older","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
